number,title,tune
1,"Come, Thou long-expected Jesus",
2,"Come, Thou long-expected Jesus",
3,"Comfort, comfort you my people",
4,Creator of the stars of night,
5,Let all mortal flesh keep silence,
6,Jesus comes with clouds descending,
7,"Lord Christ, when first You came to earth",
8,"Lift up your heads, ye mighty gates",
9,"O come, O come, Emmanuel",
10,On Jordan's bank the Baptist's cry,
11,"O Lord, how shall I meet You",
12,"People, look east. The time is near",
13,"Prepare the way, O Zion",
14,"Savior of the nations, come",
15,"Rejoice! Rejoice, believers",
16,The angel Gabriel from heaven came,
17,"""Sleepers, wake!"" A voice astounds us",
18,The desert shall rejoice,
19,To a maid engaged to Joseph,
20,"Watchman, tell us of the night",
21,All my heart today rejoices,
22,"Angels, from the realms of glory",
23,Angels we have heard on high,
24,"Away in a manger, no crib for His bed",
25,"Away in a manger, no crib for His bed",
26,"Break forth, O beauteous heavenly light",
27,Gentle Mary laid her child,
28,"Good Christian friends, rejoice",
29,While shepherds kept their watching,
30,"Born in the night, Mary's child",
31,Hark! The herald angels sing,
32,Hail the heaven-born Prince of Peace,
33,Mingxing canlan (Stars shine brightly),
34,In Bethlehem a babe was born,
35,In Bethlehem a newborn boy,
36,In the bleak midwinter,
37,"Infant holy, infant lowly",
38,It came upon the midnight clear,
39,"Joyful, joyful, joyful, joyful, Christmas day is here",
40,Joy to the world!,
41,"O come, all ye faithful",
42,Sing choirs of angels,
43,O little town of Bethlehem,
44,O little town of Bethlehem,
45,"Duérmete, Niño lindo (O Sleep, dear holy Baby)",
46,On this day earth shall ring,
47,"Still, still, still",
48,"Lo, how a rose e'er blooming",
49,Once in royal David's city,
50,There's a star in the East on Christmas morn,
51,See amid the winter's snow,
52,"Hitsuji wa nemure ri (Sheep fast asleep, there on a hill)",
53,"What Child is this, who, laid to rest",
54,From heaven above to earth I come,
55,What shall we call Him,
56,The first Nowell the angel did say,
57,"The snow lay on the ground, the stars shone bright",
58,While shepherds watched their flocks by night,
59,While shepherds watched their flocks by night,
60,"Silent night, holy night",
61,'Twas in the moon of wintertime,
62,Bring we the frankincense of our love,
63,As with gladness men of old,
64,De tierra lejana venimos a verte (From a distant home the Savior we come seeking),
65,Midnight stars make bright the sky,
66,We three kings of Orient are,
67,Brightest and best of the stars of the morning,
68,"What star is this, with beams so bright",
69,"O Morning Star, how fair and bright",
70,"Christ, when for us You were baptized",
71,"Lord, when You came to Jordan",
72,When Jesus came to Jordan,
73,Swiftly pass the clouds of glory,
74,Jesus on the mountain peak,
75,"O wondrous sight, O vision fair",
76,My song is love unknown,
77,Forty days and forty nights,
78,Alas! And did my Savior bleed,
79,"Kind Maker of the world, O hear",
80,Jesus walked this lonesome valley,
81,"Lord, who throughout these forty days",
82,O Lamb of God most holy!,
83,"O love, how deep, how broad, how high",
84,In the cross of Christ I glory,
85,What wondrous love is this,
86,When we are tempted to deny Your Son,
87,The glory of these forty days,
88,Thou art the King of Israel,
89,"Hosanna, loud hosanna",
90,Ride on! Ride on in majesty!,
91,Ride on! Ride on in majesty!,
92,Beneath the cross of Jesus,
93,"Ah, holy Jesus, how have you offended",
94,An upper room did our Lord prepare,
95,They crucified my Lord,
96,Every time I think about Jesus,
97,Go to dark Gethsemane,
98,"O sacred head, now wounded",
99,Throned upon the awful tree,
100,When I survey the wondrous cross,
101,When I survey the wondrous cross,
102,Were you there when they crucified my Lord?,
103,"Deep were His wounds, and red",
104,Christ is risen! Shout Hosanna!,
105,"Because You live, O Christ",
106,Jesus is Lord of all the earth,
107,Celebrate with joy and singing,
108,Christ is alive! Let Christians sing,
109,"Cristo vive, fuere el llanto (Christ is risen, Christ is living)",
110,Christ Jesus lay in death's strong bands,
111,"Good Christians all, rejoice and sing!",
112,Christ the Lord is risen again,
113,Christ the Lord is risen today!,
114,"Come, ye faithful, raise the strain",
115,"Come, ye faithful, raise the strain",
116,"O sons and daughters, let us sing",
117,"O sons and daughters, let us sing",
118,The day of resurrection!,
119,The strife is o'er the battle done,
120,"Christ, who was nailed to the cross",
121,That Easter day with joy was bright,
122,Thine is the glory,
123,Jesus Christ is risen today,
124,"Spirit of God, unleashed on earth",
125,"Come, Holy Spirit, our souls inspire",
126,"Come, Holy Spirit, heavenly dove",
127,"Come, O Spirit, with Your sound",
128,On Pentecost they gathered,
129,"Come, O Spirit, dwell among us",
130,Let every Christian pray,
131,Wind who makes all winds that blow,
132,"Come, great God of all the ages",
133,All glory be to God on high,
134,"Creating God, Your fingers trace",
135,"God is One, unique and holy",
136,Sovereign Lord of all creation,
137,We all believe in one true God,
138,"Holy, holy, holy! Lord God Almighty",
139,"Come, Thou Almighty King",
140,"Holy, holy",
141,A hymn of glory let us sing,
142,All hail the power of Jesus' name!,
143,All hail the power of Jesus' name!,
144,Alleluia! Sing to Jesus!,
145,"Rejoice, ye pure in heart!",
146,"Rejoice, ye pure in heart!",
147,Blessing and honor and glory and power,
148,At the name of Jesus,
149,The head that once was crowned with thorns,
150,"Come, Christians, join to sing",
151,Crown Him with many crowns,
152,Earth's scattered isles and contoured hills,
153,He built His throne up in the air,
154,"Lord, enthroned in heavenly splendor",
155,"Rejoice, the Lord is King!",
156,"You, living Christ, our eyes behold",
157,"Jesús es mi Rey soberano (Our King and our sovereign, Lord Jesus)",
158,"The one is blest who, fearing God",
159,Why are nations raging,
160,"When I call You give heed, O Lord, righteous God",
161,"As morning dawns, Lord, hear our cry",
162,"O Lord, our God, how excellent",
163,"Lord, our Lord, Thy glorious name",
164,"Lord, who may dwell within Your house",
165,When in the night I meditate,
166,The heavens above declare God's praise,
167,God's law is perfect and gives life,
168,"Lord, why have You forsaken me",
169,In the day of need may your answer be the LORD,
170,"The Lord's my Shepherd, I'll not want",
171,The King of love my Shepherd is,
172,My Shepherd will supply my need,
173,"The Lord is my Shepherd, I will never be in need",
174,"My Lord's my Shepherd, I'll not want",
175,"The Lord's my Shepherd, all my need",
176,The earth and all that dwell therein,
177,"See, all the earth is God's, its people and nations",
178,"Lord, to You my soul is lifted",
179,God is my strong salvation,
180,The God of heaven thunders,
181,"Come sing to God, O living saints",
182,"Have mercy on me, O Lord",
183,"In You, Lord, I have put my trust",
184,How blest are those whose great sin,
185,"Rejoice in the LORD, O you righteous",
186,"Thy mercy and Thy truth, O Lord",
187,"Fear the Lord, you holy ones",
188,Fret not for those who do wrong things,
189,"As deer long for the streams, O Lord",
190,As a deer longs for flowing streams,
191,God is our refuge and our strength,
192,"God, our help and constant refuge",
193,God is our refuge and strength,
194,"Peoples, clap your hands! Shout to God with joy",
195,"Have mercy of us, living Lord",
196,"Have mercy on me, O God",
197,My soul in silence waits for God,
198,"O God, You are my God",
199,"O Lord, You are my God",
200,To bless the earth God sends us,
201,"Praise is Your right, O God, in Zion",
202,May God be gracious to us and bless us,
203,"God of mercy, God of grace",
204,Justice shall flourish in God's time,
205,All hail to God's anointed,
206,"O hear our cry, O Lord",
207,"How lovely, Lord",
208,How lovely is Your dwelling place,
209,My song forever shall record,
210,"Our God, our help in ages past",
211,"Lord, You have been our dwelling place",
212,"Within Your shelter, loving God",
213,"God, our Lord, a King remaining",
214,O come and sing unto the Lord,
215,"Come, sing with joy to God",
216,"O sing a new song to the Lord, Sing, all the earth and bless that Name",
217,O sing a new song to the Lord,
218,New songs of celebration render,
219,To God compose a song of joy,
220,All people that on earth do dwell,
221,All people that on earth do dwell,
222,"Bless the Lord, O my soul",
223,"O my soul, bless your Redeemer",
224,"Bless the Lord, my soul and being!",
225,Praise the Lord!,
226,Sing praise unto the name of God,
227,"Not unto us, O Lord of heaven",
228,"O thou, my soul, return in peace",
229,From all that dwell below the skies,
230,This is the day the Lord hath made,
231,The Lord is my strength and my might,
232,Open to me the gates of righteousness,
233,Blest are the uncorrupt in heart,
234,I to the hills will lift my eyes,
235,With joy I heard my friends exclaim,
236,Now Israel may say,
237,When God delivered Israel,
238,Unless the Lord the house shall build,
239,How happy is each child of God,
240,Out of the depths to Thee I raise,
241,Behold the goodness of our Lord,
242,"Come, all you servants of the Lord",
243,"We thank you, Lord, for You are good",
244,Let us with a gladsome mind,
245,"By the waters, the waters of Babylon",
246,By the Babylonian rivers,
247,I will give thanks with my whole heart,
248,"You are before me, Lord. You are behind",
249,"O Lord, make haste to hear my cry",
250,When morning lights the eastern skies,
251,"Your faithfulness, O Lord, is sure",
252,"O Lord, You are my God and King",
253,I'll praise my Maker while I've breath,
254,Happy are those whose help is the God of Jacob,
255,"Now praise the Lord, all living saints",
256,Let the whole creation cry,
257,Give praise to the Lord,
258,Praise God with the sound of the trumpet,
259,A mighty fortress is our God,
260,A mighty fortress is our God,
261,"God of compassion, in mercy befriend us",
262,"God of the ages, whose almighty hand",
263,"Immortal, invisible, God only wise",
264,When in our music God is glorified,
265,"Great God, we sing that mighty hand",
266,"Thank you, God, for water, soil, and air",
267,Each little flower that opens,
268,"God, who stretched the spangled heavens",
269,"O God of Bethel, by whose hand",
270,"O God, in a mysterious way",
271,"Many and great, O God, are Thy things",
272,God of the sparrow,
273,"O God the Creator, the Three in One",
274,O God of earth and space,
275,"God of our life, through all the circling years",
276,Great is Thy faithfulness,
277,"O God, our faithful God",
278,"Our God, to whom we turn",
279,Lord of our growing years,
280,"Amazing grace, how sweet the sound (Daw k'ee da ha dawtsahy he tsow'haw) (Po ya fek cha he thlat ah tet) (Shilombish holitopa ma) (Ooh nay thla nah, hee oo way gee') (Nizhóníígo jooba' kiits' a')",
281,"Guide me, O Thou great Jehovah",
282,If thou but trust in God to guide thee,
283,God marked a line and told the sea,
284,"O God, what You ordain is right",
285,"God, You spin the whirling planets",
286,Give to the winds thy fears,
287,God folds the mountains out of rock,
288,I sing the mighty power of God,
289,O God of every nation,
290,God created heaven and earth,
291,O God of earth and altar,
292,All beautiful the march of days,
293,This is my Father's world,
294,"Wherever I may wander, Wherever I may be",
295,"O God of love, O God of peace",
296,Mira allá en el Calvario (Look on Calvary's summit),
297,O Lord of every shining constellation,
298,There's a wideness in God's mercy,
299,See the little baby,
300,"Down to earth, as a dove",
301,"Lord Jesus, think on me",
302,I danced in the morning when the world was begun,
303,"Jesus, lover of my soul",
304,Jesus loves me! This I know,
305,"Jesus, our divine Companion",
306,Fairest Lord Jesus,
307,Fight the good fight with all thy might,
308,O sing a song of Bethlehem,
309,Of the Father's love begotten,
310,"Jesus, the very thought of Thee",
311,"We meet You, O Christ, in many a guise",
312,When Jesus wept,
313,"Come down, O Love divine",
314,Like the murmur of the dove's song,
315,"Upon the mountain, when my Lord spoke",
316,"Breathe on me, Breath of God",
317,"Holy Ghost, dispel our sadness",
318,"Gracious Spirit, Holy Ghost",
319,You moved on the waters,
320,"The lone, wild bird in lofty flight",
321,"Holy Spirit, truth divine",
322,Spirit of the living God,
323,"Loving Spirit, Holy Spirit",
324,"Open my eyes, that I may see",
325,"Spirit divine, attend our prayers",
326,"Spirit of God, descend upon my heart",
327,O Word of God incarnate,
328,All praise to God for song God gives,
329,Break Thou the bread of life,
330,Deep in the shadows of the past,
331,Thanks to God whose word was written,
332,Live into hope of captives freed,
333,Seek ye first the kingdom of God,
334,When Israel was in Egypt's land,
335,Though I may speak with bravest fire,
336,As a chalice cast of gold,
337,Isaiah the prophet has written of old,
338,"Kum ba Yah, my Lord, kum ba yah!",
339,"Be Thou my vision, O Lord of my heart",
340,"Eternal light, shine in my heart",
341,"Ye su rul nae ga joo ro mee duh (Blessed assurance, Jesus is mine!)",
342,By gracious powers so wonderfully sheltered,
343,Called as partners in Christ's service,
344,Christ of the upward way,
345,Dear Lord and Father of mankind,
346,"Christ, You are the fullness of God",
347,"Forgive our sins as we forgive,",
348,"Christian women, Christian men",
349,Let all who pray the prayer Christ taught,
350,"Lord, let me be Your instrument",
351,"Give to me, Lord, a thankful heart",
352,"Great are Your mercies, O my Maker",
353,"Great God, Your love has called us here",
354,Guide my feet while I run this race,
355,Hear the good news of salvation (Wotanin waste nahon po),
356,"Come, Thou Fount of every blessing",
357,"O Master, let me walk with Thee",
358,Help us accept each other,
359,"More love to Thee, O Christ",
360,"Hope of the world, Thou Christ of great compassion",
361,"How firm a foundation, ye saints of the Lord",
362,"I love the Lord, who heard my cry",
363,I want Jesus to walk with me,
364,I sing a song of the saints of God,
365,"Jesus, priceless treasure",
366,"Jesus, Thy boundless love to me",
367,Kneels at the feet of His friends,
368,I've got peace like a river,
369,"I'm gonna live so God can use me anywhere, Lord, anytime!",
370,"Just as I am, without one plea",
371,"Come, Christian, follow where our Savior trod",
372,"Lord, I want to be a Christian in-a my heart",
373,"Kahm Kahm hahn boom Sanaoon (Lonely the boat, sailing at sea)",
374,"Lord, make us servants of Your peace",
375,"Lord of all good, our gifts we bring to You",
376,"Love divine, all loves excelling",
377,Tú has venido a la orilla (You have come up to the lakeshore),
378,"Make me a captive, Lord",
379,My hope is built on nothing less,
380,"O Christ, the healer, we have come",
381,No matter how heavy,
382,Knocks like Jesus,
383,My faith looks up to Thee,
384,O love that wilt not let me go,
385,"O God, we bear the imprint of Your face",
386,O for a world where everyone,
387,"Saviour, like a shepherd lead us",
388,"O Jesus, I have promised",
389,"O Jesus, I have promised",
390,"O Savior, in this quiet place",
391,"Take my life, and let it be",
392,"Take Thou our minds, dear Lord",
393,"Take up your cross, the Savior said",
394,Sometimes I feel discouraged,
395,"Señor, por tu clemencia (Take pity, Lord, I pray)",
396,O for a closer walk with God,
397,O for a closer walk with God,
398,"There's a sweet, sweet Spirit in this place",
399,We walk by faith and not by sight,
400,"Pues si vivimos  para Él vivimos (When we are living, it is in Christ Jesus)",
401,When will people cease their fighting?,
402,Now praise the hidden God of love,
403,Chway jim ma tun oo ree goo joo (What a friend we have in Jesus),
404,"Precious Lord, take my hand",
405,What does the Lord require,
406,Why has God forsaken me?,
407,Cuando el pobre nada tiena y aun reparte (When a poor one who has nothing shares with strangers),
408,Where cross the crowded ways of life,
409,Wild and lone the prophet's voice,
410,Yee jun ae Joo Nim eul nae ka mol la (When I had not yet learned of Jesus),
411,"Arise, your light is come!",
412,"Eternal God, whose power upholds",
413,All who love and serve your city,
414,As those of old their firstfruits brought,
415,"Come, labor on",
416,Christ is made the sure foundation,
417,Christ is made the sure foundation,
418,"God, bless your church with strength!",
419,"How clear is our vocation, Lord",
420,God of grace and God of glory,
421,The church of Christ in every age,
422,"God, whose giving knows no ending",
423,Jesus shall reign where'er the sun,
424,"O Jesus Christ, may grateful hymns be rising",
425,"Lord of light, Your name outshining",
426,"Lord, speak to me, that I may speak",
427,"Lord, whose love through humble service",
428,We give Thee but Thine own,
429,"Lord, you give the great commission",
430,"Come sing, O church, in joy!",
431,"O Lord, You gave Your servant John",
432,"¡Dios de la esperanza, danos gozo y paz! (May the God of hope go with us every day)",
433,There's a spirit in the air,
434,Today we all are called to be Disciples of the Lord,
435,We all are one in mission,
436,We are Your people,
437,"Our cities cry to you, O God",
438,Blest be the tie that binds,
439,In Christ there is no east or west,
440,In Christ there is no east or west,
441,"I love Thy kingdom, Lord",
442,The church's one foundation,
